=== SCORES v2 ===
Performance: 58
Accessibility: 100
Best Practices: 81
SEO: 100

=== REMAINING FAILED AUDITS ===
[binary] is-on-https | score=0 | Does not use HTTPS
[numeric] first-contentful-paint | score=0.01 | First Contentful Paint
[numeric] largest-contentful-paint | score=0 | Largest Contentful Paint
[numeric] speed-index | score=0.28 | Speed Index
[numeric] max-potential-fid | score=0.99 | Max Potential First Input Delay
[numeric] cumulative-layout-shift | score=0.99 | Cumulative Layout Shift
[numeric] interactive | score=0.05 | Time to Interactive
[metricSavings] mainthread-work-breakdown | score=0.5 | Minimize main-thread work
[metricSavings] total-byte-weight | score=0.5 | Avoid enormous network payloads
[metricSavings] unminified-javascript | score=0 | Minify JavaScript
[metricSavings] unused-css-rules | score=0 | Reduce unused CSS
[metricSavings] unused-javascript | score=0 | Reduce unused JavaScript
[metricSavings] cache-insight | score=0 | Use efficient cache lifetimes
[metricSavings] document-latency-insight | score=0.5 | Document request latency
[numeric] network-dependency-tree-insight | score=0 | Network dependency tree
[metricSavings] render-blocking-insight | score=0 | Render blocking requests

